23:15:52 t=4:37 L1 hp=100% gold=934 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=3
23:16:15 t=4:59 L1 hp=100% gold=978 0/0/0 cs=0 | lane lane=45% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.0 recall=0.42 fight=0.21 aggr=0.2 item=Doran's Blade [164 ms, 1307 tok] | act=attack-move fwd blocked=57
23:16:16 t=5:00 L1 hp=100% gold=980 0/0/0 cs=0 | lane lane=47% dmg=0 | intent=farm | jev=farm (p=0.86) danger=0.0 recall=0.47 fight=0.20 aggr=0.1 item=Doran's Blade [193 ms, 1307 tok] | act=attack-move fwd blocked=66
23:16:17 t=5:01 L1 hp=100% gold=982 0/0/0 cs=0 | lane lane=49% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.37 fight=0.21 aggr=0.1 item=Doran's Blade [195 ms, 1308 tok] | act=attack-move fwd blocked=75
23:16:18 t=5:02 L1 hp=100% gold=985 0/0/0 cs=0 | lane lane=51% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.30 fight=0.21 aggr=0.2 item=Doran's Blade [126 ms, 1308 tok] | act=attack-move fwd blocked=79
23:16:19 t=5:03 L1 hp=100% gold=988 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [140 ms, 1308 tok] | act=attack-move hold blocked=87
23:16:20 t=5:04 L1 hp=100% gold=990 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.32 fight=0.23 aggr=0.2 item=Doran's Blade [129 ms, 1308 tok] | act=Q up the lane blocked=95
23:16:21 t=5:05 L1 hp=100% gold=992 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.31 fight=0.23 aggr=0.2 item=Doran's Blade [251 ms, 1308 tok] | act=attack-move hold blocked=99
23:16:22 t=5:06 L1 hp=100% gold=993 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.33 fight=0.23 aggr=0.2 item=Doran's Blade [136 ms, 1308 tok] | act=attack-move hold blocked=107
23:16:23 t=5:07 L1 hp=100% gold=996 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [145 ms, 1308 tok] | act=attack-move hold blocked=111
23:16:24 t=5:08 L1 hp=100% gold=998 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.31 fight=0.24 aggr=0.2 item=Doran's Blade [168 ms, 1308 tok] | act=attack-move hold blocked=119
23:16:25 t=5:09 L1 hp=100% gold=1000 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.28 fight=0.23 aggr=0.2 item=Doran's Blade [201 ms, 1308 tok] | act=attack-move hold blocked=127
23:16:26 t=5:10 L1 hp=100% gold=1002 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.30 fight=0.22 aggr=0.2 item=Doran's Blade [187 ms, 1309 tok] | act=attack-move hold blocked=131
23:16:27 t=5:11 L1 hp=100% gold=1004 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.1 recall=0.28 fight=0.22 aggr=0.2 item=Doran's Blade [133 ms, 1309 tok] | act=attack-move hold blocked=139
23:16:28 t=5:12 L1 hp=100% gold=1006 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.32 fight=0.22 aggr=0.2 item=Doran's Blade [170 ms, 1309 tok] | act=Q up the lane blocked=147
23:16:29 t=5:13 L1 hp=100% gold=1008 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.31 fight=0.23 aggr=0.2 item=Doran's Blade [218 ms, 1309 tok] | act=attack-move hold blocked=151
23:16:30 t=5:14 L1 hp=100% gold=1010 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [263 ms, 1309 tok] | act=attack-move hold blocked=159
23:16:31 t=5:15 L1 hp=100% gold=1012 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.31 fight=0.23 aggr=0.2 item=Doran's Blade [132 ms, 1309 tok] | act=attack-move hold blocked=163
23:16:32 t=5:16 L1 hp=100% gold=1014 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.33 fight=0.23 aggr=0.2 item=Doran's Blade [159 ms, 1309 tok] | act=attack-move hold blocked=171
23:16:33 t=5:17 L1 hp=100% gold=1016 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [141 ms, 1309 tok] | act=attack-move hold blocked=179
23:16:34 t=5:18 L1 hp=100% gold=1018 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.32 fight=0.22 aggr=0.2 item=Doran's Blade [129 ms, 1309 tok] | act=attack-move hold blocked=183
23:16:35 t=5:19 L1 hp=100% gold=1020 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.35 fight=0.23 aggr=0.3 item=Doran's Blade [187 ms, 1309 tok] | act=attack-move hold blocked=191
23:16:36 t=5:20 L1 hp=100% gold=1022 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.32 fight=0.21 aggr=0.2 item=Doran's Blade [104 ms, 1309 tok] | act=Q up the lane blocked=199
