23:13:57 t=2:41 L1 hp=100% gold=698 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=move fwd blocked=3
23:14:12 t=2:56 L1 hp=100% gold=728 0/0/0 cs=0 | traveling lane=31% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.24 fight=0.20 aggr=0.1 item=Doran's Blade [148 ms, 1310 tok] | act=move fwd blocked=48
23:14:13 t=2:57 L1 hp=100% gold=731 0/0/0 cs=0 | traveling lane=33% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.24 fight=0.18 aggr=0.1 item=Doran's Blade [121 ms, 1310 tok] | act=move fwd blocked=51
23:14:14 t=2:58 L1 hp=100% gold=733 0/0/0 cs=0 | traveling lane=35% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.24 fight=0.19 aggr=0.1 item=Doran's Blade [146 ms, 1310 tok] | act=move fwd blocked=54
23:14:15 t=3:00 L1 hp=100% gold=735 0/0/0 cs=0 | traveling lane=37% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.29 fight=0.19 aggr=0.1 item=Doran's Blade [173 ms, 1310 tok] | act=move fwd blocked=57
23:14:16 t=3:01 L1 hp=100% gold=737 0/0/0 cs=0 | traveling lane=39% dmg=0 | intent=farm | jev=farm (p=0.85) danger=0.0 recall=0.42 fight=0.22 aggr=0.1 item=Doran's Blade [153 ms, 1310 tok] | act=move fwd blocked=60
23:14:17 t=3:02 L1 hp=100% gold=739 0/0/0 cs=0 | traveling lane=41% dmg=0 | intent=farm | jev=farm (p=0.86) danger=0.0 recall=0.42 fight=0.21 aggr=0.1 item=Doran's Blade [236 ms, 1310 tok] | act=move fwd blocked=63
23:14:18 t=3:03 L1 hp=100% gold=741 0/0/0 cs=0 | lane lane=43% dmg=0 | intent=farm | jev=farm (p=0.84) danger=0.0 recall=0.42 fight=0.22 aggr=0.1 item=Doran's Blade [197 ms, 1310 tok] | act=attack-move fwd blocked=72
23:14:19 t=3:04 L1 hp=100% gold=744 0/0/0 cs=0 | lane lane=45% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.0 recall=0.39 fight=0.21 aggr=0.1 item=Doran's Blade [166 ms, 1310 tok] | act=attack-move fwd blocked=77
23:14:20 t=3:05 L1 hp=100% gold=746 0/0/0 cs=0 | lane lane=47% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.0 recall=0.43 fight=0.19 aggr=0.1 item=Doran's Blade [208 ms, 1310 tok] | act=attack-move fwd blocked=86
23:14:21 t=3:06 L1 hp=100% gold=748 0/0/0 cs=0 | lane lane=49% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.34 fight=0.21 aggr=0.1 item=Doran's Blade [130 ms, 1311 tok] | act=attack-move fwd blocked=95
23:14:22 t=3:07 L1 hp=100% gold=750 0/0/0 cs=0 | lane lane=51% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.35 fight=0.22 aggr=0.1 item=Doran's Blade [93 ms, 1311 tok] | act=attack-move fwd blocked=100
23:14:23 t=3:08 L1 hp=100% gold=752 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.32 fight=0.22 aggr=0.1 item=Doran's Blade [122 ms, 1311 tok] | act=attack-move hold blocked=109
23:14:25 t=3:09 L1 hp=100% gold=753 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [260 ms, 1311 tok] | act=Q up the lane blocked=118
23:14:26 t=3:10 L1 hp=100% gold=756 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.33 fight=0.24 aggr=0.2 item=Doran's Blade [196 ms, 1311 tok] | act=attack-move hold blocked=123
23:14:27 t=3:11 L1 hp=100% gold=758 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.22 aggr=0.1 item=Doran's Blade [180 ms, 1311 tok] | act=attack-move hold blocked=132
23:14:28 t=3:12 L1 hp=100% gold=760 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.34 fight=0.22 aggr=0.1 item=Doran's Blade [163 ms, 1311 tok] | act=attack-move hold blocked=137
23:14:29 t=3:13 L1 hp=100% gold=762 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.34 fight=0.22 aggr=0.2 item=Doran's Blade [164 ms, 1311 tok] | act=attack-move hold blocked=146
23:14:30 t=3:14 L1 hp=100% gold=764 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.36 fight=0.21 aggr=0.2 item=Doran's Blade [199 ms, 1311 tok] | act=attack-move hold blocked=155
23:14:31 t=3:15 L1 hp=100% gold=766 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.31 fight=0.22 aggr=0.1 item=Doran's Blade [165 ms, 1311 tok] | act=attack-move hold blocked=160
23:14:32 t=3:16 L1 hp=100% gold=768 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [181 ms, 1311 tok] | act=attack-move hold blocked=169
23:14:33 t=3:17 L1 hp=100% gold=770 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.34 fight=0.23 aggr=0.2 item=Doran's Blade [229 ms, 1311 tok] | act=Q up the lane blocked=178
23:14:34 t=3:18 L1 hp=100% gold=772 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.29 fight=0.22 aggr=0.2 item=Doran's Blade [170 ms, 1311 tok] | act=attack-move hold blocked=183
23:14:35 t=3:19 L1 hp=100% gold=774 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [159 ms, 1311 tok] | act=attack-move hold blocked=192
23:14:36 t=3:20 L1 hp=100% gold=776 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.38 fight=0.23 aggr=0.3 item=Doran's Blade [163 ms, 1311 tok] | act=attack-move hold blocked=197
23:14:37 t=3:21 L1 hp=100% gold=778 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.34 fight=0.21 aggr=0.1 item=Doran's Blade [133 ms, 1309 tok] | act=attack-move hold blocked=206
23:14:38 t=3:22 L1 hp=100% gold=781 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.33 fight=0.21 aggr=0.1 item=Doran's Blade [191 ms, 1309 tok] | act=attack-move hold blocked=215
23:14:39 t=3:23 L1 hp=100% gold=783 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.32 fight=0.22 aggr=0.2 item=Doran's Blade [159 ms, 1309 tok] | act=attack-move hold blocked=220
23:14:40 t=3:24 L1 hp=100% gold=785 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.33 fight=0.21 aggr=0.2 item=Doran's Blade [141 ms, 1309 tok] | act=attack-move hold blocked=229
23:14:41 t=3:25 L1 hp=100% gold=787 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.34 fight=0.23 aggr=0.2 item=Doran's Blade [202 ms, 1309 tok] | act=Q up the lane blocked=238
23:14:42 t=3:26 L1 hp=100% gold=789 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.33 fight=0.21 aggr=0.1 item=Doran's Blade [139 ms, 1309 tok] | act=attack-move hold blocked=243
23:14:43 t=3:27 L1 hp=100% gold=791 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [151 ms, 1309 tok] | act=attack-move hold blocked=252
23:14:44 t=3:28 L1 hp=100% gold=793 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.35 fight=0.20 aggr=0.2 item=Doran's Blade [102 ms, 1309 tok] | act=attack-move hold blocked=257
23:14:45 t=3:29 L1 hp=100% gold=795 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.33 fight=0.22 aggr=0.1 item=Doran's Blade [138 ms, 1309 tok] | act=attack-move hold blocked=266
23:14:46 t=3:30 L1 hp=100% gold=797 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.31 fight=0.22 aggr=0.2 item=Doran's Blade [135 ms, 1309 tok] | act=attack-move hold blocked=275
23:14:47 t=3:31 L1 hp=100% gold=800 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.32 fight=0.20 aggr=0.2 item=Doran's Blade [146 ms, 1309 tok] | act=attack-move hold blocked=280
23:14:48 t=3:32 L1 hp=100% gold=802 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.34 fight=0.21 aggr=0.2 item=Doran's Blade [166 ms, 1309 tok] | act=attack-move hold blocked=289
23:14:49 t=3:33 L1 hp=100% gold=804 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.32 fight=0.22 aggr=0.1 item=Doran's Blade [133 ms, 1309 tok] | act=Q up the lane blocked=298
23:14:50 t=3:34 L1 hp=100% gold=806 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [128 ms, 1309 tok] | act=attack-move hold blocked=303
23:14:51 t=3:35 L1 hp=100% gold=808 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [147 ms, 1309 tok] | act=attack-move hold blocked=312
23:14:52 t=3:36 L1 hp=100% gold=810 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [550 ms, 1309 tok] | act=attack-move hold blocked=317
23:14:53 t=3:37 L1 hp=100% gold=812 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.33 fight=0.21 aggr=0.2 item=Doran's Blade [497 ms, 1309 tok] | act=attack-move hold blocked=326
23:14:54 t=3:38 L1 hp=100% gold=814 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.34 fight=0.20 aggr=0.2 item=Doran's Blade [257 ms, 1309 tok] | act=attack-move hold blocked=335
23:14:55 t=3:39 L1 hp=100% gold=816 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.35 fight=0.21 aggr=0.2 item=Doran's Blade [160 ms, 1309 tok] | act=attack-move hold blocked=340
23:14:56 t=3:40 L1 hp=100% gold=818 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.34 fight=0.22 aggr=0.2 item=Doran's Blade [211 ms, 1309 tok] | act=attack-move hold blocked=349
23:14:57 t=3:41 L1 hp=100% gold=820 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.34 fight=0.21 aggr=0.2 item=Doran's Blade [253 ms, 1309 tok] | act=Q up the lane blocked=358
23:14:58 t=3:42 L1 hp=100% gold=822 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.35 fight=0.21 aggr=0.2 item=Doran's Blade [186 ms, 1309 tok] | act=attack-move hold blocked=363
23:14:59 t=3:43 L1 hp=100% gold=824 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.0 recall=0.35 fight=0.21 aggr=0.2 item=Doran's Blade [136 ms, 1309 tok] | act=attack-move hold blocked=372
23:15:00 t=3:44 L1 hp=100% gold=826 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.34 fight=0.22 aggr=0.1 item=Doran's Blade [184 ms, 1309 tok] | act=attack-move hold blocked=377
23:15:01 t=3:45 L1 hp=100% gold=828 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.36 fight=0.22 aggr=0.2 item=Doran's Blade [164 ms, 1309 tok] | act=attack-move hold blocked=386
23:15:02 t=3:46 L1 hp=100% gold=830 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.31 fight=0.21 aggr=0.1 item=Doran's Blade [214 ms, 1309 tok] | act=attack-move hold blocked=395
23:15:03 t=3:47 L1 hp=100% gold=833 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.0 recall=0.36 fight=0.22 aggr=0.2 item=Doran's Blade [126 ms, 1309 tok] | act=attack-move hold blocked=400
23:15:04 t=3:48 L1 hp=100% gold=835 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.36 fight=0.22 aggr=0.1 item=Doran's Blade [166 ms, 1309 tok] | act=attack-move hold blocked=409
23:15:05 t=3:49 L1 hp=100% gold=837 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.36 fight=0.22 aggr=0.2 item=Doran's Blade [207 ms, 1309 tok] | act=Q up the lane blocked=418
23:15:06 t=3:50 L1 hp=100% gold=839 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.37 fight=0.22 aggr=0.2 item=Doran's Blade [311 ms, 1309 tok] | act=attack-move hold blocked=423
23:15:07 t=3:51 L1 hp=100% gold=841 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.33 fight=0.22 aggr=0.1 item=Doran's Blade [176 ms, 1309 tok] | act=attack-move hold blocked=432
23:15:08 t=3:52 L1 hp=100% gold=843 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.32 fight=0.21 aggr=0.2 item=Doran's Blade [226 ms, 1309 tok] | act=attack-move hold blocked=437
23:15:09 t=3:53 L1 hp=100% gold=845 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.31 fight=0.19 aggr=0.1 item=Doran's Blade [123 ms, 1309 tok] | act=attack-move hold blocked=446
23:15:10 t=3:54 L1 hp=100% gold=847 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.32 fight=0.23 aggr=0.2 item=Doran's Blade [101 ms, 1309 tok] | act=attack-move hold blocked=455
