23:12:46 t=1:30 L1 hp=100% gold=552 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=move fwd blocked=3
23:12:57 t=1:41 L1 hp=100% gold=574 0/0/0 cs=0 | traveling lane=22% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.27 fight=0.19 aggr=0.1 item=Doran's Blade [118 ms, 1310 tok] | act=move fwd blocked=36
23:12:58 t=1:42 L1 hp=100% gold=577 0/0/0 cs=0 | traveling lane=24% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [133 ms, 1310 tok] | act=move fwd blocked=39
23:12:59 t=1:43 L1 hp=100% gold=579 0/0/0 cs=0 | traveling lane=26% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [133 ms, 1310 tok] | act=move fwd blocked=42
23:13:00 t=1:44 L1 hp=100% gold=581 0/0/0 cs=0 | traveling lane=29% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.27 fight=0.19 aggr=0.1 item=Doran's Blade [136 ms, 1310 tok] | act=move fwd blocked=45
23:13:01 t=1:45 L1 hp=100% gold=583 0/0/0 cs=0 | traveling lane=31% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.27 fight=0.19 aggr=0.1 item=Doran's Blade [136 ms, 1310 tok] | act=move fwd blocked=48
23:13:02 t=1:46 L1 hp=100% gold=585 0/0/0 cs=0 | traveling lane=33% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.29 fight=0.20 aggr=0.1 item=Doran's Blade [114 ms, 1310 tok] | act=move fwd blocked=51
23:13:03 t=1:47 L1 hp=100% gold=587 0/0/0 cs=0 | traveling lane=35% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.28 fight=0.19 aggr=0.2 item=Doran's Blade [162 ms, 1310 tok] | act=move fwd blocked=54
23:13:04 t=1:48 L1 hp=100% gold=589 0/0/0 cs=0 | traveling lane=37% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.27 fight=0.20 aggr=0.1 item=Doran's Blade [196 ms, 1310 tok] | act=move fwd blocked=57
23:13:05 t=1:49 L1 hp=100% gold=591 0/0/0 cs=0 | traveling lane=39% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.35 fight=0.22 aggr=0.1 item=Doran's Blade [133 ms, 1310 tok] | act=move fwd blocked=60
23:13:06 t=1:50 L1 hp=100% gold=594 0/0/0 cs=0 | traveling lane=41% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.37 fight=0.22 aggr=0.1 item=Doran's Blade [183 ms, 1310 tok] | act=move fwd blocked=63
23:13:07 t=1:51 L1 hp=100% gold=596 0/0/0 cs=0 | lane lane=43% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.0 recall=0.39 fight=0.21 aggr=0.1 item=Doran's Blade [226 ms, 1310 tok] | act=attack-move fwd blocked=72
23:13:08 t=1:52 L1 hp=100% gold=598 0/0/0 cs=0 | lane lane=45% dmg=0 | intent=farm | jev=farm (p=0.87) danger=0.1 recall=0.41 fight=0.23 aggr=0.1 item=Doran's Blade [156 ms, 1310 tok] | act=attack-move fwd blocked=77
23:13:09 t=1:53 L1 hp=100% gold=599 0/0/0 cs=0 | lane lane=47% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.0 recall=0.39 fight=0.19 aggr=0.1 item=Doran's Blade [135 ms, 1310 tok] | act=attack-move fwd blocked=86
23:13:10 t=1:54 L1 hp=100% gold=602 0/0/0 cs=0 | lane lane=49% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.34 fight=0.22 aggr=0.2 item=Doran's Blade [155 ms, 1311 tok] | act=attack-move fwd blocked=95
23:13:11 t=1:55 L1 hp=100% gold=604 0/0/0 cs=0 | lane lane=51% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.32 fight=0.22 aggr=0.1 item=Doran's Blade [140 ms, 1311 tok] | act=attack-move fwd blocked=100
23:13:12 t=1:56 L1 hp=100% gold=606 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.33 fight=0.21 aggr=0.2 item=Doran's Blade [128 ms, 1311 tok] | act=attack-move hold blocked=109
23:13:13 t=1:57 L1 hp=100% gold=608 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.35 fight=0.20 aggr=0.2 item=Doran's Blade [185 ms, 1311 tok] | act=Q up the lane blocked=118
23:13:14 t=1:58 L1 hp=100% gold=610 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.34 fight=0.21 aggr=0.1 item=Doran's Blade [136 ms, 1311 tok] | act=attack-move hold blocked=123
23:13:15 t=1:59 L1 hp=100% gold=612 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.36 fight=0.21 aggr=0.2 item=Doran's Blade [184 ms, 1311 tok] | act=attack-move hold blocked=132
23:13:16 t=2:00 L1 hp=100% gold=614 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.35 fight=0.21 aggr=0.1 item=Doran's Blade [132 ms, 1311 tok] | act=attack-move hold blocked=137
23:13:17 t=2:01 L1 hp=100% gold=616 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.21 aggr=0.2 item=Doran's Blade [149 ms, 1311 tok] | act=attack-move hold blocked=146
23:13:18 t=2:02 L1 hp=100% gold=618 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.37 fight=0.20 aggr=0.1 item=Doran's Blade [197 ms, 1311 tok] | act=attack-move hold blocked=155
23:13:19 t=2:03 L1 hp=100% gold=620 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.34 fight=0.22 aggr=0.1 item=Doran's Blade [242 ms, 1311 tok] | act=attack-move hold blocked=160
23:13:20 t=2:04 L1 hp=100% gold=622 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.32 fight=0.22 aggr=0.1 item=Doran's Blade [142 ms, 1311 tok] | act=attack-move hold blocked=169
23:13:21 t=2:05 L1 hp=100% gold=624 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.32 fight=0.21 aggr=0.1 item=Doran's Blade [122 ms, 1311 tok] | act=Q up the lane blocked=178
23:13:22 t=2:06 L1 hp=100% gold=626 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.32 fight=0.21 aggr=0.1 item=Doran's Blade [122 ms, 1311 tok] | act=attack-move hold blocked=183
23:13:23 t=2:07 L1 hp=100% gold=629 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.33 fight=0.23 aggr=0.1 item=Doran's Blade [121 ms, 1311 tok] | act=attack-move hold blocked=192
23:13:24 t=2:08 L1 hp=100% gold=631 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.30 fight=0.23 aggr=0.2 item=Doran's Blade [137 ms, 1311 tok] | act=attack-move hold blocked=197
23:13:25 t=2:09 L1 hp=100% gold=633 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.0 recall=0.35 fight=0.20 aggr=0.1 item=Doran's Blade [144 ms, 1311 tok] | act=attack-move hold blocked=206
23:13:26 t=2:10 L1 hp=100% gold=635 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.33 fight=0.21 aggr=0.1 item=Doran's Blade [149 ms, 1311 tok] | act=attack-move hold blocked=215
23:13:27 t=2:11 L1 hp=100% gold=637 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.30 fight=0.23 aggr=0.2 item=Doran's Blade [375 ms, 1311 tok] | act=attack-move hold blocked=220
23:13:28 t=2:12 L1 hp=100% gold=639 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.34 fight=0.21 aggr=0.1 item=Doran's Blade [148 ms, 1311 tok] | act=attack-move hold blocked=229
23:13:29 t=2:14 L1 hp=100% gold=641 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.33 fight=0.24 aggr=0.2 item=Doran's Blade [222 ms, 1311 tok] | act=Q up the lane blocked=238
23:13:30 t=2:15 L1 hp=100% gold=643 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.33 fight=0.23 aggr=0.1 item=Doran's Blade [216 ms, 1311 tok] | act=attack-move hold blocked=243
23:13:31 t=2:16 L1 hp=100% gold=645 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.30 fight=0.21 aggr=0.1 item=Doran's Blade [100 ms, 1311 tok] | act=attack-move hold blocked=252
23:13:32 t=2:17 L1 hp=100% gold=647 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.35 fight=0.23 aggr=0.2 item=Doran's Blade [121 ms, 1311 tok] | act=attack-move hold blocked=257
