23:17:14 t=5:58 L1 hp=100% gold=1100 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=0
23:17:31 t=6:15 L1 hp=100% gold=1134 0/0/0 cs=0 | traveling lane=33% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [142 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:32 t=6:16 L1 hp=100% gold=1136 0/0/0 cs=0 | traveling lane=35% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.24 fight=0.20 aggr=0.1 item=Doran's Blade [182 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:33 t=6:17 L1 hp=100% gold=1139 0/0/0 cs=0 | traveling lane=36% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [227 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:34 t=6:18 L1 hp=100% gold=1141 0/0/0 cs=0 | traveling lane=38% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.0 recall=0.27 fight=0.19 aggr=0.2 item=Doran's Blade [143 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:35 t=6:19 L1 hp=100% gold=1143 0/0/0 cs=0 | traveling lane=40% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.0 recall=0.39 fight=0.21 aggr=0.2 item=Doran's Blade [133 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:36 t=6:20 L1 hp=100% gold=1145 0/0/0 cs=0 | traveling lane=42% dmg=0 | intent=farm | jev=farm (p=0.87) danger=0.0 recall=0.40 fight=0.21 aggr=0.2 item=Doran's Blade [118 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:37 t=6:21 L1 hp=100% gold=1147 0/0/0 cs=0 | lane lane=43% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.0 recall=0.36 fight=0.21 aggr=0.2 item=Doran's Blade [132 ms, 1313 tok] | act=attack-move fwd blocked=0
23:17:38 t=6:22 L1 hp=100% gold=1149 0/0/0 cs=0 | lane lane=45% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.0 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [166 ms, 1313 tok] | act=Q up the lane blocked=0
23:17:39 t=6:23 L1 hp=100% gold=1151 0/0/0 cs=0 | lane lane=47% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.34 fight=0.22 aggr=0.2 item=Doran's Blade [127 ms, 1314 tok] | act=attack-move fwd blocked=0
23:17:40 t=6:24 L1 hp=100% gold=1153 0/0/0 cs=0 | lane lane=49% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.34 fight=0.22 aggr=0.2 item=Doran's Blade [127 ms, 1314 tok] | act=attack-move fwd blocked=0
23:17:41 t=6:25 L1 hp=100% gold=1155 0/0/0 cs=0 | lane lane=50% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.31 fight=0.21 aggr=0.2 item=Doran's Blade [198 ms, 1314 tok] | act=attack-move fwd blocked=0
23:17:42 t=6:26 L1 hp=100% gold=1157 0/0/0 cs=0 | lane lane=52% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.31 fight=0.22 aggr=0.2 item=Doran's Blade [158 ms, 1314 tok] | act=attack-move fwd blocked=0
23:17:43 t=6:27 L1 hp=100% gold=1159 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.33 fight=0.22 aggr=0.2 item=Doran's Blade [152 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:44 t=6:28 L1 hp=100% gold=1161 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [110 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:45 t=6:29 L1 hp=100% gold=1163 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [110 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:46 t=6:30 L1 hp=100% gold=1165 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.31 fight=0.22 aggr=0.2 item=Doran's Blade [231 ms, 1314 tok] | act=Q up the lane blocked=0
23:17:47 t=6:31 L1 hp=100% gold=1167 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.31 fight=0.22 aggr=0.2 item=Doran's Blade [231 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:48 t=6:32 L1 hp=100% gold=1169 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.35 fight=0.22 aggr=0.2 item=Doran's Blade [171 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:49 t=6:33 L1 hp=100% gold=1171 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.34 fight=0.23 aggr=0.2 item=Doran's Blade [104 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:50 t=6:34 L1 hp=100% gold=1173 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.34 fight=0.23 aggr=0.2 item=Doran's Blade [104 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:51 t=6:35 L1 hp=100% gold=1175 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.36 fight=0.22 aggr=0.2 item=Doran's Blade [199 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:52 t=6:36 L1 hp=100% gold=1177 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.1 recall=0.36 fight=0.22 aggr=0.2 item=Doran's Blade [166 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:53 t=6:37 L1 hp=100% gold=1179 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.36 fight=0.23 aggr=0.2 item=Doran's Blade [301 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:54 t=6:38 L1 hp=100% gold=1181 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.33 fight=0.24 aggr=0.2 item=Doran's Blade [168 ms, 1314 tok] | act=Q up the lane blocked=0
23:17:55 t=6:39 L2 hp=100% gold=1194 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.33 fight=0.23 aggr=0.2 item=Doran's Blade [116 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:56 t=6:40 L2 hp=100% gold=1196 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.33 fight=0.23 aggr=0.2 item=Doran's Blade [116 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:57 t=6:41 L2 hp=100% gold=1208 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [132 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:58 t=6:42 L2 hp=100% gold=1211 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.31 fight=0.21 aggr=0.4 item=Doran's Blade [124 ms, 1314 tok] | act=attack-move hold blocked=0
23:17:59 t=6:43 L2 hp=100% gold=1213 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.29 fight=0.22 aggr=0.3 item=Doran's Blade [114 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:00 t=6:44 L2 hp=100% gold=1215 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.29 fight=0.22 aggr=0.3 item=Doran's Blade [114 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:01 t=6:45 L2 hp=100% gold=1217 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.36 fight=0.22 aggr=0.4 item=Doran's Blade [192 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:02 t=6:46 L2 hp=100% gold=1219 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.24 aggr=0.4 item=Doran's Blade [203 ms, 1314 tok] | act=Q up the lane blocked=0
23:18:03 t=6:47 L2 hp=100% gold=1221 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.24 aggr=0.4 item=Doran's Blade [203 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:04 t=6:48 L2 hp=100% gold=1223 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.28 fight=0.23 aggr=0.4 item=Doran's Blade [349 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:05 t=6:49 L2 hp=100% gold=1225 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.1 recall=0.32 fight=0.22 aggr=0.3 item=Doran's Blade [139 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:06 t=6:50 L2 hp=100% gold=1227 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.1 recall=0.32 fight=0.22 aggr=0.3 item=Doran's Blade [139 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:07 t=6:51 L2 hp=100% gold=1229 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.87) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [104 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:08 t=6:52 L2 hp=100% gold=1231 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.87) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [104 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:09 t=6:53 L2 hp=100% gold=1233 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [145 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:10 t=6:54 L2 hp=100% gold=1235 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [98 ms, 1314 tok] | act=Q up the lane blocked=0
23:18:11 t=6:55 L2 hp=100% gold=1237 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.32 fight=0.23 aggr=0.4 item=Doran's Blade [93 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:12 t=6:56 L2 hp=100% gold=1239 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.32 fight=0.23 aggr=0.4 item=Doran's Blade [93 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:13 t=6:57 L2 hp=100% gold=1241 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.31 fight=0.22 aggr=0.4 item=Doran's Blade [159 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:14 t=6:58 L2 hp=100% gold=1243 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [130 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:15 t=6:59 L2 hp=100% gold=1245 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [130 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:16 t=7:00 L2 hp=100% gold=1247 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.34 fight=0.23 aggr=0.4 item=Doran's Blade [111 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:17 t=7:01 L2 hp=100% gold=1249 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.34 fight=0.23 aggr=0.4 item=Doran's Blade [111 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:18 t=7:02 L2 hp=100% gold=1251 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [207 ms, 1314 tok] | act=Q up the lane blocked=0
23:18:19 t=7:03 L2 hp=100% gold=1253 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.30 fight=0.23 aggr=0.4 item=Doran's Blade [207 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:20 t=7:04 L2 hp=100% gold=1255 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.31 fight=0.22 aggr=0.4 item=Doran's Blade [131 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:21 t=7:05 L2 hp=100% gold=1257 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.31 fight=0.23 aggr=0.4 item=Doran's Blade [124 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:22 t=7:06 L2 hp=100% gold=1259 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.1 recall=0.36 fight=0.23 aggr=0.3 item=Doran's Blade [115 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:23 t=7:07 L2 hp=100% gold=1262 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.31 fight=0.24 aggr=0.4 item=Doran's Blade [144 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:24 t=7:08 L2 hp=100% gold=1264 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.29 fight=0.24 aggr=0.4 item=Doran's Blade [131 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:25 t=7:09 L2 hp=100% gold=1266 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [154 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:26 t=7:10 L2 hp=100% gold=1268 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [208 ms, 1314 tok] | act=Q up the lane blocked=0
23:18:27 t=7:11 L2 hp=100% gold=1270 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [208 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:28 t=7:12 L2 hp=100% gold=1272 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.33 fight=0.22 aggr=0.4 item=Doran's Blade [141 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:29 t=7:13 L2 hp=100% gold=1274 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [176 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:30 t=7:14 L2 hp=100% gold=1276 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [176 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:31 t=7:15 L2 hp=100% gold=1278 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.31 fight=0.21 aggr=0.4 item=Doran's Blade [165 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:32 t=7:16 L2 hp=100% gold=1280 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.32 fight=0.23 aggr=0.4 item=Doran's Blade [122 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:33 t=7:17 L2 hp=100% gold=1282 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.33 fight=0.23 aggr=0.4 item=Doran's Blade [124 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:34 t=7:18 L2 hp=100% gold=1284 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.31 fight=0.23 aggr=0.3 item=Doran's Blade [105 ms, 1314 tok] | act=Q up the lane blocked=0
23:18:35 t=7:19 L2 hp=100% gold=1286 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.32 fight=0.24 aggr=0.4 item=Doran's Blade [130 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:36 t=7:20 L2 hp=100% gold=1288 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.91) danger=0.1 recall=0.28 fight=0.24 aggr=0.4 item=Doran's Blade [105 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:37 t=7:21 L2 hp=100% gold=1305 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [129 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:38 t=7:22 L2 hp=100% gold=1307 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.32 fight=0.22 aggr=0.4 item=Doran's Blade [129 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:39 t=7:23 L2 hp=98% gold=1309 0/0/0 cs=0 | lane lane=53% dmg=2 | intent=farm | jev=farm (p=0.89) danger=0.1 recall=0.33 fight=0.24 aggr=0.4 item=Doran's Blade [189 ms, 1314 tok] | act=attack-move hold blocked=0
23:18:40 t=7:24 L2 hp=89% gold=1311 0/0/0 cs=0 | lane lane=53% dmg=11 | intent=farm | jev=farm (p=0.91) danger=0.5 recall=0.30 fight=0.25 aggr=0.5 item=Doran's Blade [150 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:41 t=7:25 L2 hp=89% gold=1313 0/0/0 cs=0 | lane lane=53% dmg=11 | intent=farm | jev=farm (p=0.91) danger=0.5 recall=0.30 fight=0.25 aggr=0.5 item=Doran's Blade [150 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:42 t=7:27 L2 hp=88% gold=1315 0/0/0 cs=0 | lane lane=53% dmg=8 | intent=farm | jev=farm (p=0.92) danger=0.5 recall=0.27 fight=0.25 aggr=0.5 item=Doran's Blade [204 ms, 1313 tok] | act=Q up the lane blocked=0
23:18:43 t=7:28 L2 hp=88% gold=1317 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.94) danger=0.5 recall=0.26 fight=0.24 aggr=0.5 item=Doran's Blade [430 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:44 t=7:29 L2 hp=88% gold=1319 0/0/0 cs=0 | lane lane=53% dmg=1 | intent=farm | jev=farm (p=0.89) danger=0.4 recall=0.30 fight=0.24 aggr=0.5 item=Doran's Blade [130 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:45 t=7:30 L2 hp=89% gold=1321 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.87) danger=0.4 recall=0.29 fight=0.24 aggr=0.6 item=Doran's Blade [123 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:46 t=7:31 L2 hp=89% gold=1323 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.4 recall=0.27 fight=0.24 aggr=0.5 item=Doran's Blade [146 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:47 t=7:32 L2 hp=89% gold=1325 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.89) danger=0.4 recall=0.29 fight=0.24 aggr=0.5 item=Doran's Blade [161 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:48 t=7:33 L2 hp=89% gold=1328 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.29 fight=0.24 aggr=0.5 item=Doran's Blade [153 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:49 t=7:34 L2 hp=89% gold=1330 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.88) danger=0.4 recall=0.29 fight=0.24 aggr=0.5 item=Doran's Blade [153 ms, 1316 tok] | act=attack-move hold blocked=0
23:18:51 t=7:35 L2 hp=90% gold=1332 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.1 recall=0.31 fight=0.22 aggr=0.4 item=Doran's Blade [263 ms, 1313 tok] | act=Q up the lane blocked=0
23:18:51 t=7:36 L2 hp=90% gold=1334 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.28 fight=0.23 aggr=0.4 item=Doran's Blade [115 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:52 t=7:37 L2 hp=90% gold=1336 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.29 fight=0.23 aggr=0.4 item=Doran's Blade [156 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:53 t=7:38 L2 hp=90% gold=1338 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.29 fight=0.23 aggr=0.4 item=Doran's Blade [156 ms, 1313 tok] | act=attack-move hold blocked=0
23:18:54 t=7:39 L2 hp=90% gold=1340 0/0/0 cs=0 | lane lane=53% dmg=0 | intent=farm | jev=farm (p=0.90) danger=0.1 recall=0.29 fight=0.22 aggr=0.4 item=Doran's Blade [401 ms, 1313 tok] | act=attack-move hold blocked=0
